startTime,endTime,temperature,shortForecast
2026-06-26 15:00:00-04:00,2026-06-26 16:00:00-04:00,79,Mostly Cloudy
2026-06-26 16:00:00-04:00,2026-06-26 17:00:00-04:00,80,Partly Sunny
2026-06-26 17:00:00-04:00,2026-06-26 18:00:00-04:00,81,Mostly Cloudy
2026-06-26 18:00:00-04:00,2026-06-26 19:00:00-04:00,80,Mostly Cloudy
2026-06-26 19:00:00-04:00,2026-06-26 20:00:00-04:00,78,Mostly Cloudy
2026-06-26 20:00:00-04:00,2026-06-26 21:00:00-04:00,77,Mostly Cloudy
2026-06-26 21:00:00-04:00,2026-06-26 22:00:00-04:00,78,Mostly Cloudy
2026-06-26 22:00:00-04:00,2026-06-26 23:00:00-04:00,77,Mostly Cloudy
2026-06-26 23:00:00-04:00,2026-06-27 00:00:00-04:00,77,Mostly Cloudy
2026-06-27 00:00:00-04:00,2026-06-27 01:00:00-04:00,76,Mostly Cloudy
2026-06-27 01:00:00-04:00,2026-06-27 02:00:00-04:00,76,Cloudy
2026-06-27 02:00:00-04:00,2026-06-27 03:00:00-04:00,75,Slight Chance Rain Showers
2026-06-27 03:00:00-04:00,2026-06-27 04:00:00-04:00,75,Slight Chance Rain Showers
2026-06-27 04:00:00-04:00,2026-06-27 05:00:00-04:00,74,Chance Rain Showers
2026-06-27 05:00:00-04:00,2026-06-27 06:00:00-04:00,73,Chance Rain Showers
2026-06-27 06:00:00-04:00,2026-06-27 07:00:00-04:00,71,Slight Chance Rain Showers
2026-06-27 07:00:00-04:00,2026-06-27 08:00:00-04:00,70,Slight Chance Rain Showers
2026-06-27 08:00:00-04:00,2026-06-27 09:00:00-04:00,69,Slight Chance Rain Showers
2026-06-27 09:00:00-04:00,2026-06-27 10:00:00-04:00,69,Slight Chance Rain Showers
2026-06-27 10:00:00-04:00,2026-06-27 11:00:00-04:00,69,Chance Rain Showers
2026-06-27 11:00:00-04:00,2026-06-27 12:00:00-04:00,68,Chance Rain Showers
2026-06-27 12:00:00-04:00,2026-06-27 13:00:00-04:00,68,Chance Rain Showers
2026-06-27 13:00:00-04:00,2026-06-27 14:00:00-04:00,68,Chance Rain Showers
2026-06-27 14:00:00-04:00,2026-06-27 15:00:00-04:00,69,Chance Showers And Thunderstorms
