startTime,endTime,temperature,shortForecast
2026-07-02 15:00:00-04:00,2026-07-02 16:00:00-04:00,90,Sunny
2026-07-02 16:00:00-04:00,2026-07-02 17:00:00-04:00,90,Sunny
2026-07-02 17:00:00-04:00,2026-07-02 18:00:00-04:00,90,Sunny
2026-07-02 18:00:00-04:00,2026-07-02 19:00:00-04:00,92,Clear
2026-07-02 19:00:00-04:00,2026-07-02 20:00:00-04:00,90,Clear
2026-07-02 20:00:00-04:00,2026-07-02 21:00:00-04:00,90,Clear
2026-07-02 21:00:00-04:00,2026-07-02 22:00:00-04:00,90,Clear
2026-07-02 22:00:00-04:00,2026-07-02 23:00:00-04:00,90,Clear
2026-07-02 23:00:00-04:00,2026-07-03 00:00:00-04:00,90,Mostly Clear
2026-07-03 00:00:00-04:00,2026-07-03 01:00:00-04:00,89,Clear
2026-07-03 01:00:00-04:00,2026-07-03 02:00:00-04:00,88,Mostly Clear
2026-07-03 02:00:00-04:00,2026-07-03 03:00:00-04:00,87,Clear
2026-07-03 03:00:00-04:00,2026-07-03 04:00:00-04:00,86,Clear
2026-07-03 04:00:00-04:00,2026-07-03 05:00:00-04:00,86,Clear
2026-07-03 05:00:00-04:00,2026-07-03 06:00:00-04:00,84,Clear
2026-07-03 06:00:00-04:00,2026-07-03 07:00:00-04:00,85,Sunny
2026-07-03 07:00:00-04:00,2026-07-03 08:00:00-04:00,85,Sunny
2026-07-03 08:00:00-04:00,2026-07-03 09:00:00-04:00,85,Sunny
2026-07-03 09:00:00-04:00,2026-07-03 10:00:00-04:00,86,Sunny
2026-07-03 10:00:00-04:00,2026-07-03 11:00:00-04:00,87,Sunny
2026-07-03 11:00:00-04:00,2026-07-03 12:00:00-04:00,87,Sunny
2026-07-03 12:00:00-04:00,2026-07-03 13:00:00-04:00,88,Sunny
2026-07-03 13:00:00-04:00,2026-07-03 14:00:00-04:00,90,Sunny
2026-07-03 14:00:00-04:00,2026-07-03 15:00:00-04:00,91,Sunny
2026-07-03 15:00:00-04:00,2026-07-03 16:00:00-04:00,91,Sunny
2026-07-03 16:00:00-04:00,2026-07-03 17:00:00-04:00,93,Sunny
2026-07-03 17:00:00-04:00,2026-07-03 18:00:00-04:00,91,Slight Chance Showers And Thunderstorms
2026-07-03 18:00:00-04:00,2026-07-03 19:00:00-04:00,91,Slight Chance Showers And Thunderstorms
2026-07-03 19:00:00-04:00,2026-07-03 20:00:00-04:00,91,Slight Chance Showers And Thunderstorms
2026-07-03 20:00:00-04:00,2026-07-03 21:00:00-04:00,89,Mostly Clear
2026-07-03 21:00:00-04:00,2026-07-03 22:00:00-04:00,90,Mostly Clear
2026-07-03 22:00:00-04:00,2026-07-03 23:00:00-04:00,89,Mostly Clear
2026-07-03 23:00:00-04:00,2026-07-04 00:00:00-04:00,89,Mostly Clear
2026-07-04 00:00:00-04:00,2026-07-04 01:00:00-04:00,87,Mostly Clear
2026-07-04 01:00:00-04:00,2026-07-04 02:00:00-04:00,86,Mostly Clear
2026-07-04 02:00:00-04:00,2026-07-04 03:00:00-04:00,86,Mostly Clear
2026-07-04 03:00:00-04:00,2026-07-04 04:00:00-04:00,85,Mostly Clear
2026-07-04 04:00:00-04:00,2026-07-04 05:00:00-04:00,84,Mostly Clear
2026-07-04 05:00:00-04:00,2026-07-04 06:00:00-04:00,83,Partly Cloudy
2026-07-04 06:00:00-04:00,2026-07-04 07:00:00-04:00,83,Sunny
2026-07-04 07:00:00-04:00,2026-07-04 08:00:00-04:00,82,Mostly Sunny
2026-07-04 08:00:00-04:00,2026-07-04 09:00:00-04:00,83,Mostly Sunny
2026-07-04 09:00:00-04:00,2026-07-04 10:00:00-04:00,84,Sunny
2026-07-04 10:00:00-04:00,2026-07-04 11:00:00-04:00,85,Sunny
2026-07-04 11:00:00-04:00,2026-07-04 12:00:00-04:00,86,Sunny
2026-07-04 12:00:00-04:00,2026-07-04 13:00:00-04:00,87,Mostly Sunny
2026-07-04 13:00:00-04:00,2026-07-04 14:00:00-04:00,87,Partly Sunny
2026-07-04 14:00:00-04:00,2026-07-04 15:00:00-04:00,88,Showers And Thunderstorms Likely
2026-07-04 15:00:00-04:00,2026-07-04 16:00:00-04:00,88,Showers And Thunderstorms Likely
2026-07-04 16:00:00-04:00,2026-07-04 17:00:00-04:00,89,Showers And Thunderstorms Likely
2026-07-04 17:00:00-04:00,2026-07-04 18:00:00-04:00,88,Showers And Thunderstorms Likely
2026-07-04 18:00:00-04:00,2026-07-04 19:00:00-04:00,87,Showers And Thunderstorms Likely
2026-07-04 19:00:00-04:00,2026-07-04 20:00:00-04:00,85,Showers And Thunderstorms Likely
2026-07-04 20:00:00-04:00,2026-07-04 21:00:00-04:00,84,Chance Showers And Thunderstorms
2026-07-04 21:00:00-04:00,2026-07-04 22:00:00-04:00,83,Chance Showers And Thunderstorms
2026-07-04 22:00:00-04:00,2026-07-04 23:00:00-04:00,83,Chance Showers And Thunderstorms
2026-07-04 23:00:00-04:00,2026-07-05 00:00:00-04:00,83,Chance Rain Showers
2026-07-05 00:00:00-04:00,2026-07-05 01:00:00-04:00,82,Chance Rain Showers
2026-07-05 01:00:00-04:00,2026-07-05 02:00:00-04:00,82,Chance Rain Showers
2026-07-05 02:00:00-04:00,2026-07-05 03:00:00-04:00,81,Partly Cloudy
2026-07-05 03:00:00-04:00,2026-07-05 04:00:00-04:00,80,Partly Cloudy
2026-07-05 04:00:00-04:00,2026-07-05 05:00:00-04:00,79,Partly Cloudy
2026-07-05 05:00:00-04:00,2026-07-05 06:00:00-04:00,78,Partly Cloudy
2026-07-05 06:00:00-04:00,2026-07-05 07:00:00-04:00,78,Mostly Sunny
2026-07-05 07:00:00-04:00,2026-07-05 08:00:00-04:00,77,Mostly Sunny
2026-07-05 08:00:00-04:00,2026-07-05 09:00:00-04:00,77,Partly Sunny
2026-07-05 09:00:00-04:00,2026-07-05 10:00:00-04:00,77,Partly Sunny
2026-07-05 10:00:00-04:00,2026-07-05 11:00:00-04:00,78,Partly Sunny
2026-07-05 11:00:00-04:00,2026-07-05 12:00:00-04:00,79,Partly Sunny
2026-07-05 12:00:00-04:00,2026-07-05 13:00:00-04:00,80,Partly Sunny
2026-07-05 13:00:00-04:00,2026-07-05 14:00:00-04:00,80,Partly Sunny
2026-07-05 14:00:00-04:00,2026-07-05 15:00:00-04:00,81,Chance Rain Showers
2026-07-05 15:00:00-04:00,2026-07-05 16:00:00-04:00,81,Chance Rain Showers
2026-07-05 16:00:00-04:00,2026-07-05 17:00:00-04:00,81,Chance Rain Showers
2026-07-05 17:00:00-04:00,2026-07-05 18:00:00-04:00,81,Chance Rain Showers
2026-07-05 18:00:00-04:00,2026-07-05 19:00:00-04:00,80,Chance Rain Showers
2026-07-05 19:00:00-04:00,2026-07-05 20:00:00-04:00,79,Chance Rain Showers
2026-07-05 20:00:00-04:00,2026-07-05 21:00:00-04:00,83,Chance Rain Showers
2026-07-05 21:00:00-04:00,2026-07-05 22:00:00-04:00,81,Chance Rain Showers
2026-07-05 22:00:00-04:00,2026-07-05 23:00:00-04:00,79,Chance Rain Showers
2026-07-05 23:00:00-04:00,2026-07-06 00:00:00-04:00,78,Chance Rain Showers
2026-07-06 00:00:00-04:00,2026-07-06 01:00:00-04:00,77,Chance Rain Showers
2026-07-06 01:00:00-04:00,2026-07-06 02:00:00-04:00,77,Chance Rain Showers
2026-07-06 02:00:00-04:00,2026-07-06 03:00:00-04:00,76,Rain Showers Likely
2026-07-06 03:00:00-04:00,2026-07-06 04:00:00-04:00,75,Rain Showers Likely
2026-07-06 04:00:00-04:00,2026-07-06 05:00:00-04:00,74,Rain Showers Likely
2026-07-06 05:00:00-04:00,2026-07-06 06:00:00-04:00,73,Rain Showers Likely
2026-07-06 06:00:00-04:00,2026-07-06 07:00:00-04:00,73,Rain Showers Likely
